,id_rc,row,column,x,y,in_bounds,cond_mt_lowcrust_conus117_250m,cond_mt_mantle_conus117_250m,cond_mt_midcrust_conus117_250m,cond_mt_surface_conus117_250m,cond_mt_upmantle_conus117_250m,dem_conus117_250m,depth_to_basement_conus117_250m,deq_n100a05_conus117_250m,deq_n100a10_conus117_250m,deq_n100a15_conus117_250m,deq_n200a05_conus117_250m,deq_n200a10_conus117_250m,deq_n200a15_conus117_250m,deq_n50a05_conus117_250m,deq_n50a10_conus117_250m,deq_n50a15_conus117_250m,elevation_detrended_span005_conus117_250m,elevation_detrended_span01_conus117_250m,elevation_detrended_span03_conus117_250m,elevation_trend_span005_conus117_250m,elevation_trend_span01_conus117_250m,elevation_trend_span03_conus117_250m,geod_2ndinv_conus117_250m,geod_dilation_conus117_250m,geod_shear_conus117_250m,grav_iso_anom_conus117_250m,heatflow_eqwt_conus117_250m,heatflow_qcwt_conus117_250m,heatflow_tcwt_conus117_250m,hs_conus117_250m,ieq_n100a05_conus117_250m,ieq_n100a10_conus117_250m,ieq_n100a15_conus117_250m,ieq_n200a05_conus117_250m,ieq_n200a10_conus117_250m,ieq_n200a15_conus117_250m,ieq_n50a05_conus117_250m,ieq_n50a10_conus117_250m,ieq_n50a15_conus117_250m,mag_hgm_conus117_250m_tif_conus117_250m,mag_iso_anom_conus117_250m,qfaults_dist_age_0-15k_conus117_250m,qfaults_dist_age_130k-750k_conus117_250m,qfaults_dist_age_15k-130k_conus117_250m,qfaults_dist_age_750k-2600k_conus117_250m,qfaults_dist_age_other_conus117_250m,qfaults_dist_all_conus117_250m,qfv2_lr_recsr_conus117_250m,NegSite_Distance,PosSite_Distance,id,col1,geometry
121,R1473C782,1473,782,-210574.5258,1872120.1753636356,1,4.1377172,4.3226933,3.1279519,3.0310647,4.046101,1646,177.52863,890.5,651.8,553.7,581.8,419.7,401.3,923.4,1090.1,787.1,87.22131,73.399414,69.84888,1491.0386,1504.8605,1508.411,35.2,11.3,18.5,-7.0427194,86.18927,87.958694,85.54947,224,648,1041,1373,894.3,1146.3,1554,668.1,774,854,3.3742625e-05,-221.48608,3535.534,46872.832,26254.762,5062.1143,322683,3535.534,-7.8040876,707.1068,15550.321,0,WalkerLane,POINT (-210574.5257588717 1872120.1753636356)
122,R1473C783,1473,783,-210324.5258,1872120.1753636356,1,4.1377172,4.3226933,3.1279519,3.0310647,4.046101,1603,177.52863,890.5,651.8,553.7,581.8,419.7,401.3,923.4,1090.1,787.1,119.34741,105.641235,102.26477,1490.5106,1504.2168,1507.5933,35.2,11.3,18.5,-7.0427194,86.18698,87.95471,85.539055,171,648,1041,1373,894.3,1146.3,1554,668.1,774,854,3.3742625e-05,-221.48608,3288.2366,47055.816,26260.713,4828.302,322515.5,3288.2366,-7.7690277,587.67523,15572.411,0,WalkerLane,POINT (-210324.5257588717 1872120.1753636356)
123,R1473C784,1473,784,-210074.5258,1872120.1753636356,1,4.1377172,4.3226933,3.071405,2.8462985,4.046101,1565,177.52863,890.5,651.8,553.7,581.8,419.7,401.3,923.4,1090.1,787.1,57.14978,42.93872,39.731567,1489.2499,1503.4609,1506.6681,34.6,11.6,17.8,-7.0427194,86.184906,87.95086,85.52884,88,648,1041,1373,894.3,1146.3,1554,668.1,774,854,3.3742625e-05,-221.48608,3041.3813,47239.418,26269.041,4596.194,322348.12,3041.3813,-7.731105,500,15598.478,0,WalkerLane,POINT (-210074.5257588717 1872120.1753636356)
124,R1473C785,1473,785,-209824.5258,1872120.1753636356,1,4.1377172,4.3226933,3.071405,2.8462985,4.0417323,1366,177.52863,890.5,651.8,553.7,581.8,419.7,401.3,923.4,1090.1,787.1,-88.02954,-102.11536,-105.15198,1488.7263,1502.8121,1505.8488,34.6,11.6,17.8,-7.0427194,86.18305,87.94714,85.51884,132,648,1041,1373,894.3,1146.3,1554,668.1,774,854,3.3742625e-05,-221.48608,2795.085,47423.62,26279.744,4366.0625,322180.84,2795.085,-7.689943,587.67523,15628.5,0,WalkerLane,POINT (-209824.5257588717 1872120.1753636356)
125,R1473C786,1473,786,-209574.5258,1872120.1753636356,1,4.1377172,4.3226933,3.071405,2.8462985,4.0417323,1314,265.4425,627,689.9,605.7,412.3,510.3,423.2,862.5,915.3,893,-163.49207,-178.08899,-180.95398,1487.4628,1502.0597,1504.9247,34.6,11.6,17.8,-8.218283,86.18142,87.94357,85.50903,250,648,1041,1373,894.3,1146.3,1554,668.1,774,854,3.256455e-05,-182.89938,2549.5098,47608.43,26292.822,4138.2363,322013.7,2549.5098,-7.644753,707.1068,15662.455,0,WalkerLane,POINT (-209574.5257588717 1872120.1753636356)
128,R1474C782,1474,782,-210574.5258,1871870.1753636356,1,4.1377172,4.3226933,3.1279519,3.0310647,4.046101,1630,177.52863,890.5,651.8,553.7,581.8,419.7,401.3,923.4,1090.1,787.1,174.34473,161.7528,158.21582,1492.499,1505.091,1508.6279,35.2,11.3,18.5,-7.0427194,86.22453,87.994064,85.57059,90,648,1041,1373,894.3,1146.3,1554,668.1,774,854,3.5886926e-05,-221.48608,3508.9172,46702.516,26504.717,4981.215,322868.6,3508.9172,-7.797887,587.67523,15799.525,0,WalkerLane,POINT (-210574.5257588717 1871870.1753636356)
129,R1474C783,1474,783,-210324.5258,1871870.1753636356,1,4.1377172,4.3226933,3.1279519,3.0310647,4.046101,1558,177.52863,890.5,651.8,553.7,581.8,419.7,401.3,923.4,1090.1,787.1,38.412476,25.953857,22.584473,1491.9791,1504.4377,1507.8071,35.2,11.3,18.5,-7.0427194,86.22255,87.99036,85.56038,74,648,1041,1373,894.3,1146.3,1554,668.1,774,854,3.5886926e-05,-221.48608,3259.6013,46886.164,26510.611,4743.4165,322701.2,3259.6013,-7.7622175,353.5534,15821.268,0,WalkerLane,POINT (-210324.5257588717 1871870.1753636356)
130,R1474C784,1474,784,-210074.5258,1871870.1753636356,1,4.1377172,4.3226933,3.1279519,2.8462985,4.046101,1479,177.52863,890.5,651.8,553.7,581.8,419.7,401.3,923.4,1090.1,787.1,12.636841,-0.06640625,-3.354004,1491.3523,1504.0555,1507.3431,34.8,11.3,18.5,-7.0427194,86.22077,87.98678,85.55036,59,648,1041,1373,894.3,1146.3,1554,668.1,774,854,3.5886926e-05,-221.48608,3010.3987,47070.426,26518.861,4506.939,322533.9,3010.3987,-7.723525,250,15846.924,0,WalkerLane,POINT (-210074.5257588717 1871870.1753636356)
131,R1474C785,1474,785,-209824.5258,1871870.1753636356,1,4.1377172,4.3226933,3.1279519,2.8462985,4.0417323,1361,177.52863,890.5,651.8,553.7,581.8,419.7,401.3,923.4,1090.1,787.1,-69.67029,-82.2312,-85.354614,1490.8364,1503.3973,1506.5208,34.8,11.3,18.5,-7.0427194,86.219215,87.98334,85.54055,229,648,1041,1373,894.3,1146.3,1554,668.1,774,854,3.5886926e-05,-221.48608,2761.3403,47255.29,26529.465,4272.002,322366.75,2761.3403,-7.6812973,353.5534,15876.477,0,WalkerLane,POINT (-209824.5257588717 1871870.1753636356)
132,R1474C786,1474,786,-209574.5258,1871870.1753636356,1,4.1377172,4.3226933,3.1279519,2.8462985,4.0417323,1407,265.4425,627,689.9,605.7,412.3,510.3,423.2,862.5,915.3,893,-145.18103,-158.23584,-161.19397,1489.5807,1502.6355,1505.5936,34.8,11.3,18.5,-8.218283,86.21787,87.980034,85.530945,244,648,1041,1373,894.3,1146.3,1554,668.1,774,854,3.493863e-05,-182.89938,2512.469,47440.754,26542.418,4038.8735,322199.66,2512.469,-7.6347866,587.67523,15909.902,0,WalkerLane,POINT (-209574.5257588717 1871870.1753636356)
